"","common_name","scientific_name","status","order","family","region"
"234","Bicolored Hawk","Astur bicolor","","ACCIPITRIFORMES","Accipitridae","CRhe"
"235","Cooper's Hawk","Astur cooperii","","ACCIPITRIFORMES","Accipitridae","CRhe"
"236","Northern Harrier","Circus hudsonius","","ACCIPITRIFORMES","Accipitridae","CRhe"
"237","Tiny Hawk","Microspizias superciliosus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"238","Double-toothed Kite","Harpagus bidentatus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"239","Mississippi Kite","Ictinia mississippiensis","","ACCIPITRIFORMES","Accipitridae","CRhe"
"240","Plumbeous Kite","Ictinia plumbea","","ACCIPITRIFORMES","Accipitridae","CRhe"
"241","Crane Hawk","Geranospiza caerulescens","","ACCIPITRIFORMES","Accipitridae","CRhe"
"242","Black-collared Hawk","Busarellus nigricollis","","ACCIPITRIFORMES","Accipitridae","CRhe"
"243","Snail Kite","Rostrhamus sociabilis","","ACCIPITRIFORMES","Accipitridae","CRhe"
"244","Barred Hawk","Morphnarchus princeps","","ACCIPITRIFORMES","Accipitridae","CRhe"
"245","Common Black Hawk","Buteogallus anthracinus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"246","Great Black Hawk","Buteogallus urubitinga","","ACCIPITRIFORMES","Accipitridae","CRhe"
"247","Solitary Eagle","Buteogallus solitarius","Rare/Accidental Near-threatened","ACCIPITRIFORMES","Accipitridae","CRhe"
"248","Roadside Hawk","Rupornis magnirostris","","ACCIPITRIFORMES","Accipitridae","CRhe"
"249","Harris's Hawk","Parabuteo unicinctus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"250","White-tailed Hawk","Geranoaetus albicaudatus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"251","White Hawk","Pseudastur albicollis","","ACCIPITRIFORMES","Accipitridae","CRhe"
"252","Semiplumbeous Hawk","Leucopternis semiplumbeus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"253","Gray Hawk","Buteo plagiatus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"254","Gray-lined Hawk","Buteo nitidus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"255","Broad-winged Hawk","Buteo platypterus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"256","Zone-tailed Hawk","Buteo albonotatus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"257","Short-tailed Hawk","Buteo brachyurus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"258","Swainson's Hawk","Buteo swainsoni","","ACCIPITRIFORMES","Accipitridae","CRhe"
"259","Red-tailed Hawk","Buteo jamaicensis","","ACCIPITRIFORMES","Accipitridae","CRhe"
"260","American Barn Owl","Tyto furcata","","STRIGIFORMES","Tytonidae","CRhe"
"261","Bare-shanked Screech-Owl","Megascops clarkii","","STRIGIFORMES","Strigidae","CRhe"
"262","Tropical Screech-Owl","Megascops choliba","","STRIGIFORMES","Strigidae","CRhe"
"263","Middle American Screech-Owl","Megascops guatemalae","","STRIGIFORMES","Strigidae","CRhe"
"264","Choco Screech-Owl","Megascops centralis","","STRIGIFORMES","Strigidae","CRhe"
"265","Pacific Screech-Owl","Megascops cooperi","","STRIGIFORMES","Strigidae","CRhe"
"266","Crested Owl","Lophostrix cristata","","STRIGIFORMES","Strigidae","CRhe"
"267","Spectacled Owl","Pulsatrix perspicillata","","STRIGIFORMES","Strigidae","CRhe"
"268","Great Horned Owl","Bubo virginianus","","STRIGIFORMES","Strigidae","CRhe"
"269","Costa Rican Pygmy-Owl","Glaucidium costaricanum","","STRIGIFORMES","Strigidae","CRhe"
"270","Central American Pygmy-Owl","Glaucidium griseiceps","","STRIGIFORMES","Strigidae","CRhe"
"271","Ferruginous Pygmy-Owl","Glaucidium brasilianum","","STRIGIFORMES","Strigidae","CRhe"
"272","Mottled Owl","Strix virgata","","STRIGIFORMES","Strigidae","CRhe"
"273","Black-and-white Owl","Strix nigrolineata","","STRIGIFORMES","Strigidae","CRhe"
"274","Striped Owl","Asio clamator","","STRIGIFORMES","Strigidae","CRhe"
"275","Unspotted Saw-whet Owl","Aegolius ridgwayi","","STRIGIFORMES","Strigidae","CRhe"
"276","Resplendent Quetzal","Pharomachrus mocinno","Near-threatened","TROGONIFORMES","Trogonidae","CRhe"
"277","Lattice-tailed Trogon","Trogon clathratus","","TROGONIFORMES","Trogonidae","CRhe"
"278","Slaty-tailed Trogon","Trogon massena","","TROGONIFORMES","Trogonidae","CRhe"
"279","Black-headed Trogon","Trogon melanocephalus","","TROGONIFORMES","Trogonidae","CRhe"
"280","Baird's Trogon","Trogon bairdii","Near-threatened","TROGONIFORMES","Trogonidae","CRhe"
"281","Gartered Violaceous Trogon","Trogon caligatus","","TROGONIFORMES","Trogonidae","CRhe"
