"common_name","scientific_name","status","order","family","region"
"Botteri's Sparrow","Peucaea botterii","","PASSERIFORMES","Passerellidae","US48"
"Rufous-winged Sparrow","Peucaea carpalis","","PASSERIFORMES","Passerellidae","US48"
"Cassin's Sparrow","Peucaea cassinii","","PASSERIFORMES","Passerellidae","CA; US48"
"Olive Warbler","Peucedramus taeniatus","","PASSERIFORMES","Peucedramidae","US48"
"Red-billed Tropicbird","Phaethon aethereus","","PHAETHONTIFORMES","Phaethontidae","CA; US48"
"White-tailed Tropicbird","Phaethon lepturus","","PHAETHONTIFORMES","Phaethontidae","CA; US48"
"Red-tailed Tropicbird","Phaethon rubricauda","Rare/Accidental","PHAETHONTIFORMES","Phaethontidae","CA; US48"
"Large-billed Tern","Phaetusa simplex","Rare/Accidental","CHARADRIIFORMES","Laridae","US48"
"Phainopepla","Phainopepla nitens","","PASSERIFORMES","Ptiliogonatidae","CA; US48"
"Great Cormorant","Phalacrocorax carbo","","SULIFORMES","Phalacrocoracidae","CA; US48"
"Common Poorwill","Phalaenoptilus nuttallii","","CAPRIMULGIFORMES","Caprimulgidae","CA; US48"
"Red Phalarope","Phalaropus fulicarius","","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Red-necked Phalarope","Phalaropus lobatus","","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Wilson's Phalarope","Phalaropus tricolor","","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Ring-necked Pheasant","Phasianus colchicus","Introduced species","GALLIFORMES","Phasianidae","CA; US48"
"Green Pheasant","Phasianus versicolor","Extirpated","GALLIFORMES","Phasianidae","US48"
"Yellow Grosbeak","Pheucticus chrysopeplus","Rare/Accidental","PASSERIFORMES","Cardinalidae","US48"
"Rose-breasted Grosbeak","Pheucticus ludovicianus","","PASSERIFORMES","Cardinalidae","AK; CA; US48"
"Black-headed Grosbeak","Pheucticus melanocephalus","","PASSERIFORMES","Cardinalidae","AK; CA; US48"
"Short-tailed Albatross","Phoebastria albatrus","Rare/Accidental Vulnerable","PROCELLARIIFORMES","Diomedeidae","AK; CA; US48"
"Laysan Albatross","Phoebastria immutabilis","Near-threatened","PROCELLARIIFORMES","Diomedeidae","AK; CA; US48"
"Black-footed Albatross","Phoebastria nigripes","Near-threatened","PROCELLARIIFORMES","Diomedeidae","AK; CA; US48"
"Light-mantled Albatross","Phoebetria palpebrata","Near-threatened","PROCELLARIIFORMES","Diomedeidae","US48"
"American Flamingo","Phoenicopterus ruber","","PHOENICOPTERIFORMES","Phoenicopteridae","CA; US48"
"Common Redstart","Phoenicurus phoenicurus","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK; US48"
"Arctic Warbler","Phylloscopus borealis","","PASSERIFORMES","Phylloscopidae","AK; CA; US48"
"Common Chiffchaff","Phylloscopus collybita","Rare/Accidental","PASSERIFORMES","Phylloscopidae","AK"
"Kamchatka Leaf Warbler","Phylloscopus examinandus","Rare/Accidental","PASSERIFORMES","Phylloscopidae","AK; CA"
"Dusky Warbler","Phylloscopus fuscatus","Rare/Accidental","PASSERIFORMES","Phylloscopidae","AK; US48"
"Yellow-browed Warbler","Phylloscopus inornatus","Rare/Accidental","PASSERIFORMES","Phylloscopidae","AK; CA; US48"
"Pallas's Leaf Warbler","Phylloscopus proregulus","Rare/Accidental","PASSERIFORMES","Phylloscopidae","AK"
"Wood Warbler","Phylloscopus sibilatrix","Rare/Accidental","PASSERIFORMES","Phylloscopidae","AK; US48"
"Willow Warbler","Phylloscopus trochilus","Rare/Accidental","PASSERIFORMES","Phylloscopidae","AK; US48"
"Black-billed Magpie","Pica hudsonia","","PASSERIFORMES","Corvidae","AK; CA; US48"
