common_name,scientific_name,status,order,family,region
Ferruginous Pygmy-Owl,Glaucidium brasilianum,,STRIGIFORMES,Strigidae,TT
Burrowing Owl,Athene cunicularia,Rare/Accidental,STRIGIFORMES,Strigidae,TT
Mottled Owl,Strix virgata,,STRIGIFORMES,Strigidae,TT
Striped Owl,Asio clamator,,STRIGIFORMES,Strigidae,TT
Stygian Owl,Asio stygius,Rare/Accidental,STRIGIFORMES,Strigidae,TT
Short-eared Owl,Asio flammeus,Rare/Accidental,STRIGIFORMES,Strigidae,TT
Green-backed Trogon,Trogon viridis,,TROGONIFORMES,Trogonidae,TT
Guianan Trogon,Trogon violaceus,,TROGONIFORMES,Trogonidae,TT
Collared Trogon,Trogon collaris,,TROGONIFORMES,Trogonidae,TT
Trinidad Motmot,Momotus bahamensis,Endemic,CORACIIFORMES,Momotidae,TT
Ringed Kingfisher,Megaceryle torquata,,CORACIIFORMES,Alcedinidae,TT
Belted Kingfisher,Megaceryle alcyon,,CORACIIFORMES,Alcedinidae,TT
Amazon Kingfisher,Chloroceryle amazona,Rare/Accidental,CORACIIFORMES,Alcedinidae,TT
American Pygmy Kingfisher,Chloroceryle aenea,,CORACIIFORMES,Alcedinidae,TT
Green Kingfisher,Chloroceryle americana,,CORACIIFORMES,Alcedinidae,TT
Rufous-tailed Jacamar,Galbula ruficauda,,GALBULIFORMES,Galbulidae,TT
Channel-billed Toucan,Ramphastos vitellinus,,PICIFORMES,Ramphastidae,TT
Red-crowned Woodpecker,Melanerpes rubricapillus,,PICIFORMES,Picidae,TT
Red-rumped Woodpecker,Dryobates kirkii,,PICIFORMES,Picidae,TT
Crimson-crested Woodpecker,Campephilus melanoleucos,,PICIFORMES,Picidae,TT
Lineated Woodpecker,Dryocopus lineatus,,PICIFORMES,Picidae,TT
Chestnut Woodpecker,Celeus elegans,,PICIFORMES,Picidae,TT
Golden-olive Woodpecker,Colaptes rubiginosus,,PICIFORMES,Picidae,TT
Crested Caracara,Caracara plancus,Rare/Accidental,FALCONIFORMES,Falconidae,TT
Yellow-headed Caracara,Daptrius chimachima,,FALCONIFORMES,Falconidae,TT
Eurasian Kestrel,Falco tinnunculus,Rare/Accidental,FALCONIFORMES,Falconidae,TT
American Kestrel,Falco sparverius,Rare/Accidental,FALCONIFORMES,Falconidae,TT
Merlin,Falco columbarius,,FALCONIFORMES,Falconidae,TT
Aplomado Falcon,Falco femoralis,,FALCONIFORMES,Falconidae,TT
Bat Falcon,Falco rufigularis,,FALCONIFORMES,Falconidae,TT
Orange-breasted Falcon,Falco deiroleucus,Rare/Accidental Near-threatened,FALCONIFORMES,Falconidae,TT
Peregrine Falcon,Falco peregrinus,,FALCONIFORMES,Falconidae,TT
Lilac-tailed Parrotlet,Touit batavicus,,PSITTACIFORMES,Psittacidae,TT
Scarlet-shouldered Parrotlet,Touit huetii,Rare/Accidental,PSITTACIFORMES,Psittacidae,TT
Blue-headed Parrot,Pionus menstruus,,PSITTACIFORMES,Psittacidae,TT
Yellow-crowned Amazon,Amazona ochrocephala,,PSITTACIFORMES,Psittacidae,TT
Orange-winged Amazon,Amazona amazonica,,PSITTACIFORMES,Psittacidae,TT
Green-rumped Parrotlet,Forpus passerinus,,PSITTACIFORMES,Psittacidae,TT
Brown-throated Parakeet,Eupsittula pertinax,,PSITTACIFORMES,Psittacidae,TT
Red-bellied Macaw,Orthopsittaca manilatus,,PSITTACIFORMES,Psittacidae,TT
