scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,ACCIPITRIFORMES,Accipitridae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Sparrowhawk,Accipiter nisus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental,yes
Acridotheres cristatellus,Crested Myna,Acridotheres cristatellus,Crested Myna,PASSERIFORMES,Sturnidae,Extirpated,Extirpated,NA,NA,ASI; CA; EUR; hol; NAM; nea; pal; SAM,yes,NA,NA,NA,NA,NA,no,Crested Myna,Acridotheres cristatellus,NA,Sturnidae (Starlings),Passeriformes,yes,Extirpated,yes
Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,Blyth's Reed Warbler,PASSERIFORMES,Acrocephalidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Blyth's Reed Warbler,Acrocephalus dumetorum,Eastern Palearctic; winters in India and Sri Lanka,Acrocephalidae (Reed Warblers and Allies),Passeriformes,yes,Rare/Accidental,yes
Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,Sedge Warbler,PASSERIFORMES,Acrocephalidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Sedge Warbler,Acrocephalus schoenobaenus,Palearctic region; winters to southern Africa,Acrocephalidae (Reed Warblers and Allies),Passeriformes,yes,Rare/Accidental,yes
Aethia cristatella,Crested Auklet,Aethia cristatella,Crested Auklet,CHARADRIIFORMES,Alcidae,NA,Rare/Accidental,Rare/Accidental,NA,ASI; CA; CAM; EUR; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Crested Auklet,Aethia cristatella,breeds western Alaska and eastern Siberia; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Aethia psittacula,Parakeet Auklet,Aethia psittacula,Parakeet Auklet,CHARADRIIFORMES,Alcidae,NA,Rare/Accidental,NA,NA,ASI; CA; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Parakeet Auklet,Aethia psittacula,North Pacific and Bering Sea; winters to Japan and southern California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes
Aethia pusilla,Least Auklet,Aethia pusilla,Least Auklet,CHARADRIIFORMES,Alcidae,NA,Rare/Accidental,Rare/Accidental,NA,ASI; CA; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Least Auklet,Aethia pusilla,breeds eastern Siberia and western Alaska; winters southward to northern Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,Whiskered Auklet,CHARADRIIFORMES,Alcidae,NA,NA,Rare/Accidental,NA,ASI; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Whiskered Auklet,Aethia pygmaea,breeds eastern Siberia and Aleutian Islands; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes
Agapornis roseicollis,Rosy-faced Lovebird,Agapornis roseicollis,Rosy-faced Lovebird,PSITTACIFORMES,Psittaculidae,Introduced species,NA,Introduced species,NA,AFR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Rosy-faced Lovebird,Agapornis roseicollis,NA,Psittaculidae (Old World Parrots),Psittaciformes,yes,Introduced species,yes
Agelaius humeralis,Tawny-shouldered Blackbird,Agelaius humeralis,Tawny-shouldered Blackbird,PASSERIFORMES,Icteridae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Tawny-shouldered Blackbird,Agelaius humeralis,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes
Aix galericulata,Mandarin Duck,Aix galericulata,Mandarin Duck,ANSERIFORMES,Anatidae,Introduced species,NA,Introduced species,Introduced species,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Mandarin Duck,Aix galericulata,"wooded ponds, swamps, and streams of northeastern Asia from southeastern Siberia, Korean Peninsula, Japan, and eastern China","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Introduced species; Introduced species,yes
Alle alle,Dovekie,Alle alle,Dovekie,CHARADRIIFORMES,Alcidae,NA,NA,NA,Rare/Accidental,AFR; ASI; CA; CAR; EUR; hol; NAM; nea; oat; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Dovekie,Alle alle,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes
Amazona autumnalis,Red-lored Amazon,Amazona autumnalis,Red-lored Amazon,PSITTACIFORMES,Psittacidae,NA,NA,Introduced species,NA,CAM; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Red-lored Amazon,Amazona autumnalis,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species,yes
Amazona finschi,Lilac-crowned Amazon,Amazona finschi,Lilac-crowned Amazon,PSITTACIFORMES,Psittacidae,Introduced species Endangered,NA,Introduced species Endangered,NA,CAM; hol; NAM; nea; US48; UShi,yes,NA,NA,NA,NA,NA,no,Lilac-crowned Amazon,Amazona finschi,"western Mexico (southern Sonora, Chihuahua, and Durango to Oaxaca)",Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species Endangered,yes
Amazona oratrix,Yellow-headed Amazon,Amazona oratrix,Yellow-headed Amazon,PSITTACIFORMES,Psittacidae,Endangered,NA,Extirpated Endangered,NA,CAM; CAR; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Yellow-headed Amazon,Amazona oratrix,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Extirpated Endangered,yes
Anarhynchus alexandrinus,Kentish Plover,Anarhynchus alexandrinus,Kentish Plover,CHARADRIIFORMES,Charadriidae,Rare/Accidental,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; oat; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Kentish Plover,Anarhynchus alexandrinus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Anarhynchus leschenaultii,Greater Sand-Plover,Anarhynchus leschenaultii,Greater Sand-Plover,CHARADRIIFORMES,Charadriidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,Greater Sand-Plover,Anarhynchus leschenaultii,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Anarhynchus mongolus,Siberian Sand-Plover,Anarhynchus mongolus,Siberian Sand-Plover,CHARADRIIFORMES,Charadriidae,Endangered,Rare/Accidental Endangered,Rare/Accidental Endangered,Endangered,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Siberian Sand-Plover,Anarhynchus mongolus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental Endangered; Rare/Accidental Endangered; Endangered,yes
Anas bahamensis,White-cheeked Pintail,Anas bahamensis,White-cheeked Pintail,ANSERIFORMES,Anatidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,White-cheeked Pintail,Anas bahamensis,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental,yes
Anas zonorhyncha,Eastern Spot-billed Duck,Anas zonorhyncha,Eastern Spot-billed Duck,ANSERIFORMES,Anatidae,NA,NA,Rare/Accidental,Rare/Accidental,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Eastern Spot-billed Duck,Anas zonorhyncha,"breeds northeastern Asia; winters to southern China, Taiwan, and Philippines","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental; Rare/Accidental,yes
Anhinga rufa,African Darter,Anhinga rufa,African Darter,SULIFORMES,Anhingidae,Uncertain origin,NA,Uncertain origin,NA,AFR; AUS; CAM; hol; MID; NAM; nea; OCE; pal; US48,yes,NA,NA,NA,NA,NA,no,African Darter,Anhinga rufa,NA,Anhingidae (Anhingas),Suliformes,yes,Uncertain origin,yes
Anser anser,Graylag Goose,Anser anser,Graylag Goose,ANSERIFORMES,Anatidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,Graylag Goose,Anser anser,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental; Rare/Accidental,yes
Anser brachyrhynchus,Pink-footed Goose,Anser brachyrhynchus,Pink-footed Goose,ANSERIFORMES,Anatidae,NA,Rare/Accidental,NA,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Pink-footed Goose,Anser brachyrhynchus,"breeds Greenland, Iceland, and Spitsbergen; winters northwestern Europe","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental,yes
Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,ANSERIFORMES,Anatidae,Rare/Accidental Vulnerable,NA,NA,Rare/Accidental Vulnerable,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Lesser White-fronted Goose,Anser erythropus,"breeds arctic Eurasia; winters to southern Europe, India, and China","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental Vulnerable,yes
Anser indicus,Bar-headed Goose,Anser indicus,Bar-headed Goose,ANSERIFORMES,Anatidae,Uncertain origin,Uncertain origin,NA,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Bar-headed Goose,Anser indicus,alpine lakes in central Asia; winters to India and Myanmar,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Uncertain origin,yes
Anthracothorax prevostii,Green-breasted Mango,Anthracothorax prevostii,Green-breasted Mango,APODIFORMES,Trochilidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Green-breasted Mango,Anthracothorax prevostii,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental,yes
Anthropoides virgo,Demoiselle Crane,Anthropoides virgo,Demoiselle Crane,GRUIFORMES,Gruidae,Uncertain origin,Uncertain origin,Uncertain origin,Uncertain origin,AFR; ASI; CA; EUR; hol; MID; NAM; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Demoiselle Crane,Anthropoides virgo,Palearctic; winters in northeastern Africa and southern Asia,Gruidae (Cranes),Gruiformes,yes,Uncertain origin; Uncertain origin; Uncertain origin,yes
Anthus gustavi,Pechora Pipit,Anthus gustavi,Pechora Pipit,PASSERIFORMES,Motacillidae,NA,NA,NA,Rare/Accidental,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Pechora Pipit,Anthus gustavi,NA,Motacillidae (Wagtails and Pipits),Passeriformes,yes,Rare/Accidental,yes
Anthus hodgsoni,Olive-backed Pipit,Anthus hodgsoni,Olive-backed Pipit,PASSERIFORMES,Motacillidae,NA,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Olive-backed Pipit,Anthus hodgsoni,NA,Motacillidae (Wagtails and Pipits),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Anthus trivialis,Tree Pipit,Anthus trivialis,Tree Pipit,PASSERIFORMES,Motacillidae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Tree Pipit,Anthus trivialis,NA,Motacillidae (Wagtails and Pipits),Passeriformes,yes,Rare/Accidental,yes
Apus nipalensis,House Swift,Apus nipalensis,House Swift,APODIFORMES,Apodidae,Rare/Accidental,Uncertain origin,NA,NA,ASI; AUS; CA; CAR; hol; NAM; nea; OCE,yes,NA,NA,NA,NA,NA,no,House Swift,Apus nipalensis,NA,Apodidae (Swifts),Apodiformes,yes,Uncertain origin,yes
Apus pacificus,Pacific Swift,Apus pacificus,Pacific Swift,APODIFORMES,Apodidae,NA,Rare/Accidental,NA,Rare/Accidental,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi,yes,NA,NA,NA,NA,NA,no,Pacific Swift,Apus pacificus,NA,Apodidae (Swifts),Apodiformes,yes,Rare/Accidental; Rare/Accidental,yes
Aramides axillaris,Rufous-necked Wood-Rail,Aramides axillaris,Rufous-necked Wood-Rail,GRUIFORMES,Rallidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Rufous-necked Wood-Rail,Aramides axillaris,"coastal northwestern Mexico to Trinidad and Suriname, and to far northwestern Peru","Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes
Ardea brachyrhyncha,Yellow-billed Egret,Ardea brachyrhyncha,Yellow-billed Egret,PELECANIFORMES,Ardeidae,Rare/Accidental,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-billed Egret,Ardea brachyrhyncha,sub-Saharan Africa,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental; Rare/Accidental,yes
Ardea coromanda,Eastern Cattle-Egret,Ardea coromanda,Eastern Cattle-Egret,PELECANIFORMES,Ardeidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Eastern Cattle-Egret,Ardea coromanda,southern and eastern Asia to Australia and New Zealand,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental,yes
Ardea intermedia,Medium Egret,Ardea intermedia,Medium Egret,PELECANIFORMES,Ardeidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Medium Egret,Ardea intermedia,Japan to southern India and Greater Sundas,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental,yes
Ardenna bulleri,Buller's Shearwater,Ardenna bulleri,Buller's Shearwater,PROCELLARIIFORMES,Procellariidae,Vulnerable,Vulnerable,Vulnerable,Vulnerable,ASI; AUS; CA; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Buller's Shearwater,Ardenna bulleri,breeds islands off New Zealand; wide trans-Pacific dispersal,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Vulnerable; Vulnerable; Vulnerable,yes
Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,Flesh-footed Shearwater,PROCELLARIIFORMES,Procellariidae,Near-threatened,Near-threatened,Near-threatened,Rare/Accidental Near-threatened,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; oin; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Flesh-footed Shearwater,Ardenna carneipes,southern Indian and southwestern Pacific Oceans; winters to Arabian Sea and northwestern Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Near-threatened; Near-threatened; Rare/Accidental Near-threatened,yes
Ardenna creatopus,Pink-footed Shearwater,Ardenna creatopus,Pink-footed Shearwater,PROCELLARIIFORMES,Procellariidae,Vulnerable,Vulnerable,Vulnerable,Rare/Accidental Vulnerable,ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Pink-footed Shearwater,Ardenna creatopus,Mocha and Juan Fernández islands off Chile; ranges to North Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Vulnerable; Vulnerable; Rare/Accidental Vulnerable,yes
Ardenna gravis,Great Shearwater,Ardenna gravis,Great Shearwater,PROCELLARIIFORMES,Procellariidae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; pal; SAM; TT; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Great Shearwater,Ardenna gravis,islands in South Atlantic Ocean; ranges North Atlantic to Arctic Circle,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Ardenna grisea,Sooty Shearwater,Ardenna grisea,Sooty Shearwater,PROCELLARIIFORMES,Procellariidae,Near-threatened,Near-threatened,Near-threatened,Near-threatened,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Sooty Shearwater,Ardenna grisea,"breeds southern South America, New Zealand, and southeastern Australia; winters to North Pacific and North Atlantic",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes
Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,PROCELLARIIFORMES,Procellariidae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CAM; hol; MID; NAM; nea; OCE; oin; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Wedge-tailed Shearwater,Ardenna pacifica,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Ardeola bacchus,Chinese Pond-Heron,Ardeola bacchus,Chinese Pond-Heron,PELECANIFORMES,Ardeidae,NA,NA,NA,Rare/Accidental,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Chinese Pond-Heron,Ardeola bacchus,lowlands of southern Asia; winters to Greater Sundas,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental,yes
Arundinax aedon,Thick-billed Warbler,Arundinax aedon,Thick-billed Warbler,PASSERIFORMES,Acrocephalidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Thick-billed Warbler,Arundinax aedon,NA,Acrocephalidae (Reed Warblers and Allies),Passeriformes,yes,Rare/Accidental,yes
Astur gentilis,Eurasian Goshawk,Astur gentilis,Eurasian Goshawk,ACCIPITRIFORMES,Accipitridae,Rare/Accidental,Rare/Accidental,NA,Rare/Accidental,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Goshawk,Astur gentilis,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental; Rare/Accidental,yes
Basileuterus culicivorus,Golden-crowned Warbler,Basileuterus culicivorus,Golden-crowned Warbler,PASSERIFORMES,Parulidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Golden-crowned Warbler,Basileuterus culicivorus,NA,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes
Basileuterus lachrymosus,Fan-tailed Warbler,Basileuterus lachrymosus,Fan-tailed Warbler,PASSERIFORMES,Parulidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Fan-tailed Warbler,Basileuterus lachrymosus,tropical western Mexico (southeastern Sonora) to north-central Nicaragua,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes
Basileuterus rufifrons,Rufous-capped Warbler,Basileuterus rufifrons,Rufous-capped Warbler,PASSERIFORMES,Parulidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Rufous-capped Warbler,Basileuterus rufifrons,NA,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes
Basilinna xantusii,Xantus's Hummingbird,Basilinna xantusii,Xantus's Hummingbird,APODIFORMES,Trochilidae,NA,Rare/Accidental,Rare/Accidental,NA,CA; CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Xantus's Hummingbird,Basilinna xantusii,arid scrub of southern Baja California,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental; Rare/Accidental,yes
Botaurus sinensis,Yellow Bittern,Botaurus sinensis,Yellow Bittern,PELECANIFORMES,Ardeidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Yellow Bittern,Botaurus sinensis,"southern Asia, Malay Archipelago, New Guinea region, and southern Oceania","Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental,yes
Branta leucopsis,Barnacle Goose,Branta leucopsis,Barnacle Goose,ANSERIFORMES,Anatidae,NA,Rare/Accidental,Rare/Accidental,Uncertain origin,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Barnacle Goose,Branta leucopsis,"high Arctic eastern Greenland, Svalbard (north of Norway), Novaya Zemlya and nearby Kolguyev and Vaygach islands (northwestern Russia); winters to coastal northern British Isles, southern Scandinavia, and northwestern Europe","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental; Rare/Accidental; Uncertain origin,yes
Branta sandvicensis,Hawaiian Goose,Branta sandvicensis,Hawaiian Goose,ANSERIFORMES,Anatidae,Near-threatened,NA,Uncertain origin Near-threatened,NA,hol; NAM; nea; OCE; PAC; US48; UShi,yes,NA,NA,NA,NA,NA,no,Hawaiian Goose,Branta sandvicensis,upland lava flows of Hawaii; introduced to Maui,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Uncertain origin Near-threatened,yes
Brotogeris versicolurus,White-winged Parakeet,Brotogeris versicolurus,White-winged Parakeet,PSITTACIFORMES,Psittacidae,Introduced species,NA,Introduced species,NA,CAR; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,White-winged Parakeet,Brotogeris versicolurus,lowlands of southeastern Colombia to eastern Peru and Amazonian Brazil,Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species,yes
Bulweria bulwerii,Bulwer's Petrel,Bulweria bulwerii,Bulwer's Petrel,PROCELLARIIFORMES,Procellariidae,NA,NA,Rare/Accidental,NA,AFR; ASI; AUS; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; oin; opa; PAC; pal; SAM; TT; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Bulwer's Petrel,Bulweria bulwerii,"Azores to Cape Verde, Johnston, and northwestern Hawaiian islands",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Bulweria fallax,Jouanin's Petrel,Bulweria fallax,Jouanin's Petrel,PROCELLARIIFORMES,Procellariidae,Near-threatened,NA,Rare/Accidental Near-threatened,NA,AFR; ASI; AUS; hol; MID; NAM; nea; OCE; oin; PAC; pal; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Jouanin's Petrel,Bulweria fallax,northwestern Indian Ocean and southern Arabian Sea; breeding grounds unknown,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Near-threatened,yes
Buteo rufinus,Long-legged Buzzard,Buteo rufinus,Long-legged Buzzard,ACCIPITRIFORMES,Accipitridae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Long-legged Buzzard,Buteo rufinus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental,yes
Buteogallus urubitinga,Great Black Hawk,Buteogallus urubitinga,Great Black Hawk,ACCIPITRIFORMES,Accipitridae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Great Black Hawk,Buteogallus urubitinga,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental,yes
Calidris falcinellus,Broad-billed Sandpiper,Calidris falcinellus,Broad-billed Sandpiper,CHARADRIIFORMES,Scolopacidae,Rare/Accidental Vulnerable,NA,Rare/Accidental Vulnerable,Rare/Accidental Vulnerable,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Broad-billed Sandpiper,Calidris falcinellus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental Vulnerable; Rare/Accidental Vulnerable,yes
Calidris pygmaea,Spoon-billed Sandpiper,Calidris pygmaea,Spoon-billed Sandpiper,CHARADRIIFORMES,Scolopacidae,Rare/Accidental Critically endangered,Rare/Accidental Critically endangered,NA,Rare/Accidental Critically endangered,ASI; CA; EUR; hol; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Spoon-billed Sandpiper,Calidris pygmaea,breeds northeastern Siberia; winters in southeastern Asia,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental Critically endangered; Rare/Accidental Critically endangered,yes
Calidris subminuta,Long-toed Stint,Calidris subminuta,Long-toed Stint,CHARADRIIFORMES,Scolopacidae,NA,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Long-toed Stint,Calidris subminuta,northeastern Palearctic; winters southeastern Asia to Philippines and Australia,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
