scientific_name_clements2024.combo,common_name_clements2024.combo,AOU_bbs2024.combo,scientific_name_clements2024,common_name_clements2024,scientific_name_bbs2024,AOU_bbs2024,in_bbs2024
Sula leucogaster,Brown Booby,1150,Sula leucogaster,Brown Booby,Sula leucogaster,1150,yes
Sula nebouxii,Blue-footed Booby,1141,Sula nebouxii,Blue-footed Booby,Sula nebouxii,1141,yes
Surnia ulula,Northern Hawk Owl,3770,Surnia ulula,Northern Hawk Owl,Surnia ulula,3770,yes
Synthliboramphus antiquus,Ancient Murrelet,210,Synthliboramphus antiquus,Ancient Murrelet,Synthliboramphus antiquus,210,yes
Synthliboramphus craveri,Craveri's Murrelet,NA,Synthliboramphus craveri,Craveri's Murrelet,NA,NA,no
Synthliboramphus hypoleucus,Guadalupe Murrelet,NA,Synthliboramphus hypoleucus,Guadalupe Murrelet,NA,NA,no
Synthliboramphus scrippsi,Scripps's Murrelet,NA,Synthliboramphus scrippsi,Scripps's Murrelet,NA,NA,no
Tachybaptus dominicus,Least Grebe,50,Tachybaptus dominicus,Least Grebe,Tachybaptus dominicus,50,yes
Tachycineta bicolor,Tree Swallow,6140,Tachycineta bicolor,Tree Swallow,Tachycineta bicolor,6140,yes
Tachycineta thalassina,Violet-green Swallow,6150,Tachycineta thalassina,Violet-green Swallow,Tachycineta thalassina,6150,yes
Thalasseus elegans,Elegant Tern,660,Thalasseus elegans,Elegant Tern,Thalasseus elegans,660,yes
Thalasseus maximus,Royal Tern,650,Thalasseus maximus,Royal Tern,Thalasseus maximus,650,yes
Thalasseus sandvicensis,Sandwich Tern,670,Thalasseus sandvicensis,Sandwich Tern,Thalasseus sandvicensis,670,yes
Thryomanes bewickii,Bewick's Wren,7190,Thryomanes bewickii,Bewick's Wren,Thryomanes bewickii,7190,yes
Thryophilus sinaloa,Sinaloa Wren,16600,Thryophilus sinaloa,Sinaloa Wren,Thryophilus sinaloa,16600,yes
Thryothorus ludovicianus,Carolina Wren,7180,Thryothorus ludovicianus,Carolina Wren,Thryothorus ludovicianus,7180,yes
Toxostoma bendirei,Bendire's Thrasher,7080,Toxostoma bendirei,Bendire's Thrasher,Toxostoma bendirei,7080,yes
Toxostoma crissale,Crissal Thrasher,7120,Toxostoma crissale,Crissal Thrasher,Toxostoma crissale,7120,yes
Toxostoma curvirostre,Curve-billed Thrasher,7070,Toxostoma curvirostre,Curve-billed Thrasher,Toxostoma curvirostre,7070,yes
Toxostoma lecontei,LeConte's Thrasher,7110,Toxostoma lecontei,LeConte's Thrasher,Toxostoma lecontei,7110,yes
Toxostoma longirostre,Long-billed Thrasher,7060,Toxostoma longirostre,Long-billed Thrasher,Toxostoma longirostre,7060,yes
Toxostoma redivivum,California Thrasher,7100,Toxostoma redivivum,California Thrasher,Toxostoma redivivum,7100,yes
Toxostoma rufum,Brown Thrasher,7050,Toxostoma rufum,Brown Thrasher,Toxostoma rufum,7050,yes
Tringa flavipes,Lesser Yellowlegs,2550,Tringa flavipes,Lesser Yellowlegs,Tringa flavipes,2550,yes
Tringa flavipes/melanoleuca,Lesser/Greater Yellowlegs,2555,Tringa flavipes/melanoleuca,Lesser/Greater Yellowlegs,Tringa melanoleuca / flavipes,2555,yes
Tringa incana,Wandering Tattler,2590,Tringa incana,Wandering Tattler,Tringa incana,2590,yes
Tringa melanoleuca,Greater Yellowlegs,2540,Tringa melanoleuca,Greater Yellowlegs,Tringa melanoleuca,2540,yes
Tringa nebularia,Common Greenshank,2530,Tringa nebularia,Common Greenshank,Tringa nebularia,2530,yes
Tringa semipalmata,Willet,2580,Tringa semipalmata,Willet,Tringa semipalmata,2580,yes
Tringa solitaria,Solitary Sandpiper,2560,Tringa solitaria,Solitary Sandpiper,Tringa solitaria,2560,yes
Trochilidae sp.,hummingbird sp.,4402,Trochilidae sp.,hummingbird sp.,Trochilid sp.,4402,yes
Troglodytes aedon,Northern House Wren,7210,Troglodytes aedon,Northern House Wren,Troglodytes aedon,7210,yes
Troglodytes hiemalis,Winter Wren,7222,Troglodytes hiemalis,Winter Wren,Troglodytes hiemalis,7222,yes
Troglodytes pacificus,Pacific Wren,7221,Troglodytes pacificus,Pacific Wren,Troglodytes pacificus,7221,yes
Troglodytes pacificus/hiemalis,Pacific/Winter Wren,7220,Troglodytes pacificus/hiemalis,Pacific/Winter Wren,Troglodytes pacificus / hiemalis,7220,yes
Trogon elegans,Elegant Trogon,3890,Trogon elegans,Elegant Trogon,Trogon elegans,3890,yes
Turdus eunomus,Dusky Thrush,7614,Turdus eunomus,Dusky Thrush,Turdus eunomus,7614,yes
Turdus grayi,Clay-colored Thrush,7621,Turdus grayi,Clay-colored Thrush,Turdus grayi,7621,yes
Turdus migratorius,American Robin,7610,Turdus migratorius,American Robin,Turdus migratorius,7610,yes
Tympanuchus cupido,Greater Prairie-Chicken,3050,Tympanuchus cupido,Greater Prairie-Chicken,Tympanuchus cupido,3050,yes
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,3070,Tympanuchus pallidicinctus,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,3070,yes
Tympanuchus phasianellus,Sharp-tailed Grouse,3080,Tympanuchus phasianellus,Sharp-tailed Grouse,Tympanuchus phasianellus,3080,yes
Tyrannus couchii,Couch's Kingbird,4461,Tyrannus couchii,Couch's Kingbird,Tyrannus couchii,4461,yes
Tyrannus crassirostris,Thick-billed Kingbird,4451,Tyrannus crassirostris,Thick-billed Kingbird,Tyrannus crassirostris,4451,yes
Tyrannus dominicensis,Gray Kingbird,4450,Tyrannus dominicensis,Gray Kingbird,Tyrannus dominicensis,4450,yes
Tyrannus forficatus,Scissor-tailed Flycatcher,4430,Tyrannus forficatus,Scissor-tailed Flycatcher,Tyrannus forficatus,4430,yes
Tyrannus melancholicus,Tropical Kingbird,4460,Tyrannus melancholicus,Tropical Kingbird,Tyrannus melancholicus,4460,yes
Tyrannus melancholicus/couchii,Tropical/Couch's Kingbird,4462,Tyrannus melancholicus/couchii,Tropical/Couch's Kingbird,Tyrannus melancholicus / couchii,4462,yes
Tyrannus savana,Fork-tailed Flycatcher,4420,Tyrannus savana,Fork-tailed Flycatcher,Tyrannus savana,4420,yes
Tyrannus tyrannus,Eastern Kingbird,4440,Tyrannus tyrannus,Eastern Kingbird,Tyrannus tyrannus,4440,yes
Tyrannus verticalis,Western Kingbird,4470,Tyrannus verticalis,Western Kingbird,Tyrannus verticalis,4470,yes
Tyrannus vociferans,Cassin's Kingbird,4480,Tyrannus vociferans,Cassin's Kingbird,Tyrannus vociferans,4480,yes
Tyrannus vociferans/verticalis,Cassin's/Western Kingbird,4447,Tyrannus vociferans/verticalis,Cassin's/Western Kingbird,Tyrannus vociferans / verticalis,4447,yes
Tyto alba,Western Barn Owl,3650,Tyto alba,Western Barn Owl,Tyto alba,3650,yes
Uria aalge,Common Murre,300,Uria aalge,Common Murre,Uria aalge,300,yes
Uria lomvia,Thick-billed Murre,310,Uria lomvia,Thick-billed Murre,Uria lomvia,310,yes
Uria lomvia/aalge,Thick-billed/Common Murre,315,Uria lomvia/aalge,Thick-billed/Common Murre,Uria aalge / lomvia,315,yes
Urile pelagicus,Pelagic Cormorant,1230,Urile pelagicus,Pelagic Cormorant,Urile pelagicus,1230,yes
Urile penicillatus,Brandt's Cormorant,1220,Urile penicillatus,Brandt's Cormorant,Urile penicillatus,1220,yes
NA,NA,1207,NA,NA,Urile sp.,1207,yes
Urile urile,Red-faced Cormorant,NA,Urile urile,Red-faced Cormorant,NA,NA,no
Vermivora bachmanii,Bachman's Warbler,NA,Vermivora bachmanii,Bachman's Warbler,NA,NA,no
Vermivora chrysoptera,Golden-winged Warbler,6420,Vermivora chrysoptera,Golden-winged Warbler,Vermivora chrysoptera,6420,yes
Vermivora chrysoptera x cyanoptera,Golden-winged x Blue-winged Warbler (hybrid),6413,Vermivora chrysoptera x cyanoptera,Golden-winged x Blue-winged Warbler (hybrid),Vermivora chrysoptera x cyanoptera,6413,yes
Vermivora chrysoptera x cyanoptera (F1 hybrid),Brewster's Warbler (hybrid),6412,Vermivora chrysoptera x cyanoptera (F1 hybrid),Brewster's Warbler (hybrid),Vermivora cyanoptera x chrysoptera,6412,yes
Vermivora cyanoptera,Blue-winged Warbler,6410,Vermivora cyanoptera,Blue-winged Warbler,Vermivora cyanoptera,6410,yes
Vidua macroura,Pin-tailed Whydah,19510,Vidua macroura,Pin-tailed Whydah,Vidua macroura,19510,yes
Vireo altiloquus,Black-whiskered Vireo,6230,Vireo altiloquus,Black-whiskered Vireo,Vireo altiloquus,6230,yes
Vireo atricapilla,Black-capped Vireo,6300,Vireo atricapilla,Black-capped Vireo,Vireo atricapilla,6300,yes
Vireo bellii,Bell's Vireo,6330,Vireo bellii,Bell's Vireo,Vireo bellii,6330,yes
Vireo cassinii,Cassin's Vireo,6291,Vireo cassinii,Cassin's Vireo,Vireo cassinii,6291,yes
Vireo cassinii/plumbeus,Cassin's/Plumbeous Vireo,6296,Vireo cassinii/plumbeus,Cassin's/Plumbeous Vireo,Vireo plumbeus / cassinii,6296,yes
Vireo cassinii/solitarius,Cassin's/Blue-headed Vireo,6295,Vireo cassinii/solitarius,Cassin's/Blue-headed Vireo,Vireo cassinii / solitarius,6295,yes
Vireo flavifrons,Yellow-throated Vireo,6280,Vireo flavifrons,Yellow-throated Vireo,Vireo flavifrons,6280,yes
Vireo flavoviridis,Yellow-green Vireo,NA,Vireo flavoviridis,Yellow-green Vireo,NA,NA,no
Vireo gilvus,Warbling Vireo,6270,Vireo gilvus,Warbling Vireo,Vireo gilvus,6270,yes
Vireo griseus,White-eyed Vireo,6310,Vireo griseus,White-eyed Vireo,Vireo griseus,6310,yes
Vireo huttoni,Hutton's Vireo,6320,Vireo huttoni,Hutton's Vireo,Vireo huttoni,6320,yes
Vireo olivaceus,Red-eyed Vireo,6240,Vireo olivaceus,Red-eyed Vireo,Vireo olivaceus,6240,yes
Vireo philadelphicus,Philadelphia Vireo,6260,Vireo philadelphicus,Philadelphia Vireo,Vireo philadelphicus,6260,yes
Vireo plumbeus,Plumbeous Vireo,6292,Vireo plumbeus,Plumbeous Vireo,Vireo plumbeus,6292,yes
Vireo solitarius,Blue-headed Vireo,6290,Vireo solitarius,Blue-headed Vireo,Vireo solitarius,6290,yes
Vireo vicinior,Gray Vireo,6340,Vireo vicinior,Gray Vireo,Vireo vicinior,6340,yes
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,4970,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,4970,yes
Xema sabini,Sabine's Gull,620,Xema sabini,Sabine's Gull,Xema sabini,620,yes
Zenaida asiatica,White-winged Dove,3190,Zenaida asiatica,White-winged Dove,Zenaida asiatica,3190,yes
Zenaida macroura,Mourning Dove,3160,Zenaida macroura,Mourning Dove,Zenaida macroura,3160,yes
Zonotrichia albicollis,White-throated Sparrow,5580,Zonotrichia albicollis,White-throated Sparrow,Zonotrichia albicollis,5580,yes
Zonotrichia atricapilla,Golden-crowned Sparrow,5570,Zonotrichia atricapilla,Golden-crowned Sparrow,Zonotrichia atricapilla,5570,yes
Zonotrichia leucophrys,White-crowned Sparrow,5540,Zonotrichia leucophrys,White-crowned Sparrow,Zonotrichia leucophrys,5540,yes
Zonotrichia querula,Harris's Sparrow,5530,Zonotrichia querula,Harris's Sparrow,Zonotrichia querula,5530,yes
Zosterops simplex,Swinhoe's White-eye,7421,Zosterops simplex,Swinhoe's White-eye,Zosterops simplex,7421,yes
