scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_CA_avibase8.17,status_NAM_avibase8.17,status_NaN_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data,AOU_bbs2024.combo,scientific_name_clements2024.combo,common_name_clements2024.combo
Poecile hudsonicus,Boreal Chickadee,Poecile hudsonicus,Boreal Chickadee,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CA; hol; NAM; nea; US48; USak,yes,7400,Boreal Chickadee,Passeriformes,Paridae,Poecile hudsonicus,yes,Boreal Chickadee,Poecile hudsonicus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7400,Poecile hudsonicus,Boreal Chickadee
Poecile rufescens,Chestnut-backed Chickadee,Poecile rufescens,Chestnut-backed Chickadee,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CA; hol; NAM; nea; US48; USak,yes,7410,Chestnut-backed Chickadee,Passeriformes,Paridae,Poecile rufescens,yes,Chestnut-backed Chickadee,Poecile rufescens,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7410,Poecile rufescens,Chestnut-backed Chickadee
Poecile sclateri,Mexican Chickadee,Poecile sclateri,Mexican Chickadee,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7370,Mexican Chickadee,Passeriformes,Paridae,Poecile sclateri,yes,Mexican Chickadee,Poecile sclateri,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7370,Poecile sclateri,Mexican Chickadee
Poecile sp.,chickadee sp.; unid. western chickadee species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,7351,unid. western chickadee species,Passeriformes,Paridae,Poecile sp.,yes,chickadee sp.,Poecile sp.,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7351,Poecile sp.,chickadee sp.
Polioptila caerulea,Blue-gray Gnatcatcher,Polioptila caerulea,Blue-gray Gnatcatcher,PASSERIFORMES,Polioptilidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,7510,Blue-gray Gnatcatcher,Passeriformes,Polioptilidae,Polioptila caerulea,yes,Blue-gray Gnatcatcher,Polioptila caerulea,NA,Polioptilidae (Gnatcatchers),Passeriformes,yes,NA,yes,7510,Polioptila caerulea,Blue-gray Gnatcatcher
Polioptila caerulea/melanura,unid. Blue-gray/Black-tailed Gnatcatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,7539,unid. Blue-gray / Black-tailed Gnatcatcher,Passeriformes,Polioptilidae,Polioptila caerulea / melanura,yes,NA,NA,NA,NA,NA,no,NA,yes,7539,NA,NA
Polioptila californica,California Gnatcatcher,Polioptila californica,California Gnatcatcher,PASSERIFORMES,Polioptilidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7530,California Gnatcatcher,Passeriformes,Polioptilidae,Polioptila californica,yes,California Gnatcatcher,Polioptila californica,NA,Polioptilidae (Gnatcatchers),Passeriformes,yes,NA,yes,7530,Polioptila californica,California Gnatcatcher
Polioptila melanura,Black-tailed Gnatcatcher,Polioptila melanura,Black-tailed Gnatcatcher,PASSERIFORMES,Polioptilidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7520,Black-tailed Gnatcatcher,Passeriformes,Polioptilidae,Polioptila melanura,yes,Black-tailed Gnatcatcher,Polioptila melanura,NA,Polioptilidae (Gnatcatchers),Passeriformes,yes,NA,yes,7520,Polioptila melanura,Black-tailed Gnatcatcher
Polysticta stelleri,Steller's Eider,Polysticta stelleri,Steller's Eider,ANSERIFORMES,Anatidae,Rare/Accidental Vulnerable,Vulnerable,NA,Rare/Accidental Vulnerable,Vulnerable,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,1570,Steller's Eider,Anseriformes,Anatidae,Polysticta stelleri,yes,Steller's Eider,Polysticta stelleri,"northwestern and northeastern Siberia from Yamal Peninsula to Chukotka; and Arctic Coastal Plain, northern Alaska; winters to Kamchatka Peninsula, Commander and Kuril islands (southeastern Russia), and Aleutian Islands; also Kola Peninsula, Barents and White seas (northwestern Russia), and Baltic Sea","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental Vulnerable; Rare/Accidental Vulnerable; Vulnerable,yes,1570,Polysticta stelleri,Steller's Eider
Pooecetes gramineus,Vesper Sparrow,Pooecetes gramineus,Vesper Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,5400,Vesper Sparrow,Passeriformes,Passerellidae,Pooecetes gramineus,yes,Vesper Sparrow,Pooecetes gramineus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental,yes,5400,Pooecetes gramineus,Vesper Sparrow
Porphyrio martinica; Porphyrio martinicus,Purple Gallinule,Porphyrio martinica,Purple Gallinule,GRUIFORMES,Rallidae,Rare/Accidental,NA,NA,NA,NA,AFR; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; TT; US48; UShi,yes,2180,Purple Gallinule,Gruiformes,Rallidae,Porphyrio martinicus,yes,Purple Gallinule,Porphyrio martinica,locally from southern USA to northern Argentina and West Indies,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes,2180,Porphyrio martinica,Purple Gallinule
Porphyrio porphyrio,Western Swamphen; Purple Swamphen,Porphyrio porphyrio,Western Swamphen,GRUIFORMES,Rallidae,NA,Introduced species,NA,Introduced species,NA,AFR; CAR; EUR; hol; NAM; nea; pal; US48,yes,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio porphyrio,yes,Western Swamphen,Porphyrio porphyrio,Iberian Peninsula and northwestern Africa (Morocco to Tunisia),"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Introduced species,yes,21930,Porphyrio porphyrio,Western Swamphen
Porzana carolina,Sora,Porzana carolina,Sora,GRUIFORMES,Rallidae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak; UShi,yes,2140,Sora,Gruiformes,Rallidae,Porzana carolina,yes,Sora,Porzana carolina,southern Alaska to northern Baja California and southern USA; winters to West Indies and northern South America,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes,2140,Porzana carolina,Sora
Progne subis,Purple Martin,Progne subis,Purple Martin,PASSERIFORMES,Hirundinidae,NA,NA,NA,NA,Rare/Accidental,ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; US48; USak,yes,6110,Purple Martin,Passeriformes,Hirundinidae,Progne subis,yes,Purple Martin,Progne subis,NA,Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental,yes,6110,Progne subis,Purple Martin
Protonotaria citrea,Prothonotary Warbler,Protonotaria citrea,Prothonotary Warbler,PASSERIFORMES,Parulidae,NA,NA,NA,NA,NA,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; XX,yes,6370,Prothonotary Warbler,Passeriformes,Parulidae,Protonotaria citrea,yes,Prothonotary Warbler,Protonotaria citrea,eastern USA; winters southeastern Mexico to western Ecuador and Lesser Antilles,Parulidae (New World Warblers),Passeriformes,yes,NA,yes,6370,Protonotaria citrea,Prothonotary Warbler
Psaltriparus minimus,Bushtit,Psaltriparus minimus,Bushtit,PASSERIFORMES,Aegithalidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,7430,Bushtit,Passeriformes,Aegithalidae,Psaltriparus minimus,yes,Bushtit,Psaltriparus minimus,NA,Aegithalidae (Long-tailed Tits),Passeriformes,yes,NA,yes,7430,Psaltriparus minimus,Bushtit
Psiloscops flammeolus,Flammulated Owl,Psiloscops flammeolus,Flammulated Owl,STRIGIFORMES,Strigidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,3740,Flammulated Owl,Strigiformes,Strigidae,Psiloscops flammeolus,yes,Flammulated Owl,Psiloscops flammeolus,southern British Columbia to southwestern USA and southern Mexico; winters to Guatemala,Strigidae (Owls),Strigiformes,yes,Rare/Accidental,yes,3740,Psiloscops flammeolus,Flammulated Owl
Psittacara holochlorus,Green Parakeet,Psittacara holochlorus,Green Parakeet,PSITTACIFORMES,Psittacidae,NA,NA,NA,Introduced species,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Green Parakeet,Psittacara holochlorus,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species,yes,NA,Psittacara holochlorus,Green Parakeet
Psittacula krameri,Rose-ringed Parakeet,Psittacula krameri,Rose-ringed Parakeet,PSITTACIFORMES,Psittaculidae,NA,Introduced species,Introduced species,Introduced species,NA,AFR; ASI; AUS; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; UShi,yes,3823,Rose-ringed Parakeet,Psittaciformes,Psittaculidae,Psittacula krameri,yes,Rose-ringed Parakeet,Psittacula krameri,NA,Psittaculidae (Old World Parrots),Psittaciformes,yes,Introduced species,yes,3823,Psittacula krameri,Rose-ringed Parakeet
Ptychoramphus aleuticus,Cassin's Auklet,Ptychoramphus aleuticus,Cassin's Auklet,CHARADRIIFORMES,Alcidae,Near-threatened,Near-threatened,NA,Near-threatened,Near-threatened,ASI; CA; CAM; hol; NAM; nea; pal; US48; USak; UShi; XX,yes,160,Cassin's Auklet,Charadriiformes,Alcidae,Ptychoramphus aleuticus,yes,Cassin's Auklet,Ptychoramphus aleuticus,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes,160,Ptychoramphus aleuticus,Cassin's Auklet
Puffinus opisthomelas,Black-vented Shearwater,Puffinus opisthomelas,Black-vented Shearwater,PROCELLARIIFORMES,Procellariidae,Rare/Accidental Near-threatened,Near-threatened,NA,Near-threatened,NA,CA; CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black-vented Shearwater,Puffinus opisthomelas,islands off western coast of Baja California; disperses adjacent Mexican waters,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Near-threatened; Near-threatened,yes,NA,Puffinus opisthomelas,Black-vented Shearwater
Puffinus puffinus,Manx Shearwater,Puffinus puffinus,Manx Shearwater,PROCELLARIIFORMES,Procellariidae,NA,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; pal; SAM; TT; US48; USak; XX,yes,900,Manx Shearwater,Procellariiformes,Procellariidae,Puffinus puffinus,yes,Manx Shearwater,Puffinus puffinus,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,yes,900,Puffinus puffinus,Manx Shearwater
Pyrocephalus rubinus,Vermilion Flycatcher,Pyrocephalus rubinus,Vermilion Flycatcher,PASSERIFORMES,Tyrannidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; US48; XX,yes,4710,Vermilion Flycatcher,Passeriformes,Tyrannidae,Pyrocephalus rubinus,yes,Vermilion Flycatcher,Pyrocephalus rubinus,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes,4710,Pyrocephalus rubinus,Vermilion Flycatcher
Quiscalus major,Boat-tailed Grackle,Quiscalus major,Boat-tailed Grackle,PASSERIFORMES,Icteridae,NA,NA,Rare/Accidental,Endemic,NA,CAM; CAR; EUR; hol; NAM; NaN; nea; pal; US48,yes,5130,Boat-tailed Grackle,Passeriformes,Icteridae,Quiscalus major,yes,Boat-tailed Grackle,Quiscalus major,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Endemic,yes,5130,Quiscalus major,Boat-tailed Grackle
Quiscalus major/mexicanus,Boat-tailed/Great-tailed Grackle; unid. Boat-tailed Grackle/Great-tailed Grackle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5135,unid. Boat-tailed Grackle / Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus major / mexicanus,yes,Boat-tailed/Great-tailed Grackle,Quiscalus major/mexicanus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,NA,yes,5135,Quiscalus major/mexicanus,Boat-tailed/Great-tailed Grackle
Quiscalus mexicanus,Great-tailed Grackle,Quiscalus mexicanus,Great-tailed Grackle,PASSERIFORMES,Icteridae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48; UShi,yes,5120,Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus mexicanus,yes,Great-tailed Grackle,Quiscalus mexicanus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes,5120,Quiscalus mexicanus,Great-tailed Grackle
Quiscalus quiscula,Common Grackle,Quiscalus quiscula,Common Grackle,PASSERIFORMES,Icteridae,Near-threatened,Near-threatened,NA,Near-threatened,Rare/Accidental Near-threatened,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,5110,Common Grackle,Passeriformes,Icteridae,Quiscalus quiscula,yes,Common Grackle,Quiscalus quiscula,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Near-threatened; Near-threatened; Rare/Accidental Near-threatened,yes,5110,Quiscalus quiscula,Common Grackle
Rallus crepitans,Clapper Rail,Rallus crepitans,Clapper Rail,GRUIFORMES,Rallidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,2110,Clapper Rail,Gruiformes,Rallidae,Rallus crepitans,yes,Clapper Rail,Rallus crepitans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes,2110,Rallus crepitans,Clapper Rail
Rallus elegans,King Rail,Rallus elegans,King Rail,GRUIFORMES,Rallidae,Near-threatened,Near-threatened,NA,Near-threatened,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,2080,King Rail,Gruiformes,Rallidae,Rallus elegans,yes,King Rail,Rallus elegans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Near-threatened; Near-threatened,yes,2080,Rallus elegans,King Rail
Rallus elegans/crepitans; Rallus crepitans/elegans,King/Clapper Rail; unid. Clapper/King Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,2090,unid. Clapper / King Rail,Gruiformes,Rallidae,Rallus crepitans / elegans,yes,King/Clapper Rail,Rallus elegans/crepitans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,NA,yes,2090,Rallus elegans/crepitans,King/Clapper Rail
Rallus limicola,Virginia Rail,Rallus limicola,Virginia Rail,GRUIFORMES,Rallidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; US48; USak,yes,2120,Virginia Rail,Gruiformes,Rallidae,Rallus limicola,yes,Virginia Rail,Rallus limicola,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes,2120,Rallus limicola,Virginia Rail
Rallus obsoletus,Ridgway's Rail,Rallus obsoletus,Ridgway's Rail,GRUIFORMES,Rallidae,NA,Near-threatened,NA,Near-threatened,NA,CAM; hol; NAM; nea; SAM; US48,yes,2111,Ridgway's Rail,Gruiformes,Rallidae,Rallus obsoletus,yes,Ridgway's Rail,Rallus obsoletus,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Near-threatened,yes,2111,Rallus obsoletus,Ridgway's Rail
Ramosomyia violiceps,Violet-crowned Hummingbird,Ramosomyia violiceps,Violet-crowned Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,4391,Violet-crowned Hummingbird,Apodiformes,Trochilidae,Ramosomyia violiceps,yes,Violet-crowned Hummingbird,Ramosomyia violiceps,NA,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4391,Ramosomyia violiceps,Violet-crowned Hummingbird
Recurvirostra americana,American Avocet,Recurvirostra americana,American Avocet,CHARADRIIFORMES,Recurvirostridae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak; UShi,yes,2250,American Avocet,Charadriiformes,Recurvirostridae,Recurvirostra americana,yes,American Avocet,Recurvirostra americana,southern Canada to northern Mexico; winters southern USA to Costa Rica and Cuba,Recurvirostridae (Stilts and Avocets),Charadriiformes,yes,Rare/Accidental,yes,2250,Recurvirostra americana,American Avocet
Regulus satrapa,Golden-crowned Kinglet,Regulus satrapa,Golden-crowned Kinglet,PASSERIFORMES,Regulidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,7480,Golden-crowned Kinglet,Passeriformes,Regulidae,Regulus satrapa,yes,Golden-crowned Kinglet,Regulus satrapa,NA,Regulidae (Kinglets),Passeriformes,yes,NA,yes,7480,Regulus satrapa,Golden-crowned Kinglet
Rhodostethia rosea,Ross's Gull,Rhodostethia rosea,Ross's Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,Rare/Accidental,NA,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,610,Ross's Gull,Charadriiformes,Laridae,Rhodostethia rosea,yes,Ross's Gull,Rhodostethia rosea,locally in Siberia and Arctic North America,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,610,Rhodostethia rosea,Ross's Gull
Rhynchophanes mccownii,Thick-billed Longspur,Rhynchophanes mccownii,Thick-billed Longspur,PASSERIFORMES,Calcariidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,5390,Thick-billed Longspur,Passeriformes,Calcariidae,Rhynchophanes mccownii,yes,Thick-billed Longspur,Rhynchophanes mccownii,breeds western Canada to northwestern USA; winters to northwestern Mexico,Calcariidae (Longspurs and Snow Buntings),Passeriformes,yes,NA,yes,5390,Rhynchophanes mccownii,Thick-billed Longspur
Riparia riparia,Bank Swallow,Riparia riparia,Bank Swallow,PASSERIFORMES,Hirundinidae,NA,NA,NA,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6160,Bank Swallow,Passeriformes,Hirundinidae,Riparia riparia,yes,Bank Swallow,Riparia riparia,NA,Hirundinidae (Swallows),Passeriformes,yes,NA,yes,6160,Riparia riparia,Bank Swallow
Rissa brevirostris,Red-legged Kittiwake,Rissa brevirostris,Red-legged Kittiwake,CHARADRIIFORMES,Laridae,Rare/Accidental Vulnerable,Vulnerable,NA,Rare/Accidental Vulnerable,Vulnerable,ASI; CA; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Red-legged Kittiwake,Rissa brevirostris,"Komandorskiye, Aleutian, and Pribilof islands; winters North Pacific","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental Vulnerable; Rare/Accidental Vulnerable; Vulnerable,yes,NA,Rissa brevirostris,Red-legged Kittiwake
Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla,Black-legged Kittiwake,CHARADRIIFORMES,Laridae,Vulnerable,Vulnerable,NA,Vulnerable,Vulnerable,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; oat; OCE; opa; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,400,Black-legged Kittiwake,Charadriiformes,Laridae,Rissa tridactyla,yes,Black-legged Kittiwake,Rissa tridactyla,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Vulnerable; Vulnerable; Vulnerable,yes,400,Rissa tridactyla,Black-legged Kittiwake
Rostrhamus sociabilis,Snail Kite,Rostrhamus sociabilis,Snail Kite,ACCIPITRIFORMES,Accipitridae,NA,NA,Rare/Accidental,NA,NA,CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48,yes,3300,Snail Kite,Accipitriformes,Accipitridae,Rostrhamus sociabilis,yes,Snail Kite,Rostrhamus sociabilis,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3300,Rostrhamus sociabilis,Snail Kite
Rynchops niger,Black Skimmer,Rynchops niger,Black Skimmer,CHARADRIIFORMES,Laridae,Rare/Accidental,NA,NA,NA,NA,AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48,yes,800,Black Skimmer,Charadriiformes,Laridae,Rynchops niger,yes,Black Skimmer,Rynchops niger,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,800,Rynchops niger,Black Skimmer
Salpinctes obsoletus,Rock Wren,Salpinctes obsoletus,Rock Wren,PASSERIFORMES,Troglodytidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; hol; NAM; nea; US48; USak,yes,7150,Rock Wren,Passeriformes,Troglodytidae,Salpinctes obsoletus,yes,Rock Wren,Salpinctes obsoletus,NA,Troglodytidae (Wrens),Passeriformes,yes,Rare/Accidental,yes,7150,Salpinctes obsoletus,Rock Wren
Sayornis nigricans,Black Phoebe,Sayornis nigricans,Black Phoebe,PASSERIFORMES,Tyrannidae,Rare/Accidental,NA,NA,NA,Rare/Accidental,CA; CAM; hol; NAM; nea; SAM; US48; USak,yes,4580,Black Phoebe,Passeriformes,Tyrannidae,Sayornis nigricans,yes,Black Phoebe,Sayornis nigricans,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes,4580,Sayornis nigricans,Black Phoebe
Sayornis phoebe,Eastern Phoebe,Sayornis phoebe,Eastern Phoebe,PASSERIFORMES,Tyrannidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,4560,Eastern Phoebe,Passeriformes,Tyrannidae,Sayornis phoebe,yes,Eastern Phoebe,Sayornis phoebe,breeds eastern Canada and USA; winters to southeastern Mexico,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes,4560,Sayornis phoebe,Eastern Phoebe
Sayornis saya,Say's Phoebe,Sayornis saya,Say's Phoebe,PASSERIFORMES,Tyrannidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,4570,Say's Phoebe,Passeriformes,Tyrannidae,Sayornis saya,yes,Say's Phoebe,Sayornis saya,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,NA,yes,4570,Sayornis saya,Say's Phoebe
Scolopax minor,American Woodcock,Scolopax minor,American Woodcock,CHARADRIIFORMES,Scolopacidae,NA,NA,NA,NA,NA,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48,yes,2280,American Woodcock,Charadriiformes,Scolopacidae,Scolopax minor,yes,American Woodcock,Scolopax minor,breeds eastern Canada and USA; winters to Gulf Coast,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,yes,2280,Scolopax minor,American Woodcock
Seiurus aurocapilla,Ovenbird,Seiurus aurocapilla,Ovenbird,PASSERIFORMES,Parulidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6740,Ovenbird,Passeriformes,Parulidae,Seiurus aurocapilla,yes,Ovenbird,Seiurus aurocapilla,NA,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes,6740,Seiurus aurocapilla,Ovenbird
Selasphorus calliope,Calliope Hummingbird,Selasphorus calliope,Calliope Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; hol; NAM; nea; US48; USak,yes,4360,Calliope Hummingbird,Apodiformes,Trochilidae,Selasphorus calliope,yes,Calliope Hummingbird,Selasphorus calliope,mountains of British Columbia to southwestern USA and northern Baja California; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental,yes,4360,Selasphorus calliope,Calliope Hummingbird
Selasphorus platycercus,Broad-tailed Hummingbird,Selasphorus platycercus,Broad-tailed Hummingbird,APODIFORMES,Trochilidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,4320,Broad-tailed Hummingbird,Apodiformes,Trochilidae,Selasphorus platycercus,yes,Broad-tailed Hummingbird,Selasphorus platycercus,mountains of southwestern USA to Mexico and Guatemala,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental,yes,4320,Selasphorus platycercus,Broad-tailed Hummingbird
Selasphorus rufus,Rufous Hummingbird,Selasphorus rufus,Rufous Hummingbird,APODIFORMES,Trochilidae,Near-threatened,Near-threatened,NA,Near-threatened,Near-threatened,ASI; CA; CAM; CAR; hol; NAM; nea; pal; US48; USak,yes,4330,Rufous Hummingbird,Apodiformes,Trochilidae,Selasphorus rufus,yes,Rufous Hummingbird,Selasphorus rufus,Alaska to northwestern USA; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes,4330,Selasphorus rufus,Rufous Hummingbird
Selasphorus rufus/sasin,Rufous/Allen's Hummingbird; unid. Rufous Hummingbird/Allen's Hummingbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,4335,unid. Rufous Hummingbird / Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus rufus / sasin,yes,Rufous/Allen's Hummingbird,Selasphorus rufus/sasin,NA,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4335,Selasphorus rufus/sasin,Rufous/Allen's Hummingbird
Selasphorus sasin,Allen's Hummingbird,Selasphorus sasin,Allen's Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,Breeding endemic,NA,CAM; hol; NAM; nea; US48,yes,4340,Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus sasin,yes,Allen's Hummingbird,Selasphorus sasin,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Breeding endemic,yes,4340,Selasphorus sasin,Allen's Hummingbird
Setophaga americana,Northern Parula,Setophaga americana,Northern Parula,PASSERIFORMES,Parulidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6480,Northern Parula,Passeriformes,Parulidae,Setophaga americana,yes,Northern Parula,Setophaga americana,eastern North America (southern Canada to southern USA); winters to Nicaragua and West Indies,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes,6480,Setophaga americana,Northern Parula
Setophaga caerulescens,Black-throated Blue Warbler,Setophaga caerulescens,Black-throated Blue Warbler,PASSERIFORMES,Parulidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak,yes,6540,Black-throated Blue Warbler,Passeriformes,Parulidae,Setophaga caerulescens,yes,Black-throated Blue Warbler,Setophaga caerulescens,NA,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes,6540,Setophaga caerulescens,Black-throated Blue Warbler
