scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Anas platyrhynchos,Mallard,Mallard,Anas platyrhynchos,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,1320,Mallard,Anseriformes,Anatidae,Anas platyrhynchos,yes,Mallard,Anas platyrhynchos,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas platyrhynchos,Mallard,CONUS & Canada,Anseriformes,Anatidae,10/4/22,yes
Anas platyrhynchos x rubripes; Anas platyrhynchos x rubripes/diazi/fulvigula,Mallard x American Black Duck (hybrid); hybrid Mallard x Black/Mexican/Mottled Duck,NA,NA,NA,NA,NA,NA,no,1326,hybrid Mallard x Black / Mexican / Mottled Duck,Anseriformes,Anatidae,Anas platyrhynchos x rubripes / diazi / fulvigula,yes,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas platyrhynchos x rubripes / diazi / fulvigula,hybrid Mallard x Black / Mexican / Mottled Duck,CONUS & Canada,Anseriformes,Anatidae,N/A; hybrid species,yes
Anas rubripes,American Black Duck,American Black Duck,Anas rubripes,NA,ANSERIFORMES,Anatidae,ASI; CA; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,1330,American Black Duck,Anseriformes,Anatidae,Anas rubripes,yes,American Black Duck,Anas rubripes,northeastern North America; winters to Bahamas and Gulf Coast,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas rubripes,American Black Duck,CONUS & Canada,Anseriformes,Anatidae,11/25/2022,yes
Anas zonorhyncha,Eastern Spot-billed Duck,Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Eastern Spot-billed Duck,Anas zonorhyncha,"breeds northeastern Asia; winters to southern China, Taiwan, and Philippines","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas zonorhyncha,Eastern Spot-billed Duck,Asia,Anseriformes,Anatidae,3/25/2024,yes
Anhinga anhinga,Anhinga,Anhinga,Anhinga anhinga,NA,SULIFORMES,Anhingidae,CA; CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,1180,Anhinga,Suliformes,Anhingidae,Anhinga anhinga,yes,Anhinga,Anhinga anhinga,NA,Anhingidae (Anhingas),Suliformes,yes,Anhinga anhinga,Anhinga,CONUS & Canada,Suliformes,Anhingidae,1/30/2023-1/31/2023,yes
Anhinga rufa,African Darter,African Darter,Anhinga rufa,Uncertain origin,SULIFORMES,Anhingidae,AFR; AUS; CAM; hol; MID; NAM; nea; OCE; pal; US48,yes,NA,NA,NA,NA,NA,no,African Darter,Anhinga rufa,NA,Anhingidae (Anhingas),Suliformes,yes,NA,NA,NA,NA,NA,NA,no
Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,Anser albifrons,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,1710,Greater White-fronted Goose,Anseriformes,Anatidae,Anser albifrons,yes,Greater White-fronted Goose,Anser albifrons,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser albifrons,Greater White-fronted Goose,CONUS & Canada,Anseriformes,Anatidae,9/8/2023-9/18/2023,yes
Anser anser,Graylag Goose,Graylag Goose,Anser anser,Rare/Accidental,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,Graylag Goose,Anser anser,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser anser,Graylag Goose,Europe & Asia,Anseriformes,Anatidae,3/4/2024 - 3/8/2024,yes
Anser caerulescens; Anser caerulescens (blue form),Snow Goose; (Blue Goose) Snow Goose,Snow Goose,Anser caerulescens,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,1690; 1691,Snow Goose; (Blue Goose) Snow Goose,Anseriformes,Anatidae,Anser caerulescens; Anser caerulescens (blue form),yes,Snow Goose,Anser caerulescens,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser caerulescens; Anser caerulescens (blue form),Snow Goose; (Blue Goose) Snow Goose,CONUS & Canada,Anseriformes,Anatidae,11/22/2022,yes
Anser canagicus,Emperor Goose,Emperor Goose,Anser canagicus,NA,ANSERIFORMES,Anatidae,ASI; CA; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,1760,Emperor Goose,Anseriformes,Anatidae,Anser canagicus,yes,Emperor Goose,Anser canagicus,"breeds in northeastern Siberia and western Alaska; primarily winters in Alaska, from the Aleutian Islands to the Alaska Peninsula","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser canagicus,Emperor Goose,CONUS & Canada,Anseriformes,Anatidae,8/31/2023-9/7/2023,yes
Anser erythropus,Lesser White-fronted Goose,Lesser White-fronted Goose,Anser erythropus,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Lesser White-fronted Goose,Anser erythropus,"breeds arctic Eurasia; winters to southern Europe, India, and China","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser erythropus,Lesser White-fronted Goose,Europe & Asia,Anseriformes,Anatidae,3/8/2024,yes
Anser fabalis,Taiga Bean-Goose,Taiga Bean-Goose,Anser fabalis,Rare/Accidental,ANSERIFORMES,Anatidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Taiga Bean-Goose,Anser fabalis,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser fabalis,Taiga Bean-Goose,Europe & Asia,Anseriformes,Anatidae,3/8/2024-3/11/2024,yes
Anser indicus,Bar-headed Goose,Bar-headed Goose,Anser indicus,Uncertain origin,ANSERIFORMES,Anatidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Bar-headed Goose,Anser indicus,alpine lakes in central Asia; winters to India and Myanmar,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,NA,NA,NA,NA,NA,no
Anser rossii,Ross's Goose,Ross's Goose,Anser rossii,NA,ANSERIFORMES,Anatidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,1700,Ross's Goose,Anseriformes,Anatidae,Anser rossii,yes,Ross's Goose,Anser rossii,breeds tundra of arctic north-central Canada; winters to western and central USA and central Mexico,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser rossii,Ross's Goose,CONUS & Canada,Anseriformes,Anatidae,11/9/2023,yes
Anser serrirostris,Tundra Bean-Goose,Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Tundra Bean-Goose,Anser serrirostris,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anser serrirostris,Tundra Bean-Goose,CONUS & Canada,Anseriformes,Anatidae,3/8/2024- 3/14/2024,yes
Anthracothorax prevostii,Green-breasted Mango,Green-breasted Mango,Anthracothorax prevostii,Rare/Accidental,APODIFORMES,Trochilidae,CAM; CAR; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Green-breasted Mango,Anthracothorax prevostii,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Anthracothorax prevostii,Green-breasted Mango,Mexico,Caprimulgiformes,Trochilidae,09/13//2024,yes
Anthropoides virgo,Demoiselle Crane,Demoiselle Crane,Anthropoides virgo,Uncertain origin,GRUIFORMES,Gruidae,AFR; ASI; CA; EUR; hol; MID; NAM; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Demoiselle Crane,Anthropoides virgo,Palearctic; winters in northeastern Africa and southern Asia,Gruidae (Cranes),Gruiformes,yes,NA,NA,NA,NA,NA,NA,no
Anthus cervinus,Red-throated Pipit,Red-throated Pipit,Anthus cervinus,Rare/Accidental,PASSERIFORMES,Motacillidae,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,6990,Red-throated Pipit,Passeriformes,Motacillidae,Anthus cervinus,yes,Red-throated Pipit,Anthus cervinus,"tundra of northern Palearctic and northwestern Alaska; winters to Africa, Indonesia, and Philippines",Motacillidae (Wagtails and Pipits),Passeriformes,yes,Anthus cervinus,Red-throated Pipit,CONUS & Canada,Passeriformes,Motacillidae,11/3/2023,yes
Anthus hodgsoni,Olive-backed Pipit,Olive-backed Pipit,Anthus hodgsoni,Rare/Accidental,PASSERIFORMES,Motacillidae,AFR; ASI; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Olive-backed Pipit,Anthus hodgsoni,NA,Motacillidae (Wagtails and Pipits),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Anthus japonicus,Siberian Pipit,Siberian Pipit,Anthus japonicus,Rare/Accidental,PASSERIFORMES,Motacillidae,AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Siberian Pipit,Anthus japonicus,"northern to eastern Russia in southeastern Taymyr Peninsula, western Siberian Plateau, and from eastward of Lena River, Yakutsk region, and Lake Baikal eastward to Chukotskiy Peninsula, Commander Islands, Sakhalin, and Kuril Islands; winters from Japan and Korea to southern and southeastern continental Asia; recorded westward to Israel and Turkey",Motacillidae (Wagtails and Pipits),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Anthus rubescens,American Pipit,American Pipit,Anthus rubescens,NA,PASSERIFORMES,Motacillidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; SAM; US48; USak; UShi; XX,yes,6970,American Pipit,Passeriformes,Motacillidae,Anthus rubescens,yes,American Pipit,Anthus rubescens,NA,Motacillidae (Wagtails and Pipits),Passeriformes,yes,Anthus rubescens,American Pipit,CONUS & Canada,Passeriformes,Motacillidae,3/3/2023,yes
Anthus spragueii,Sprague's Pipit,Sprague's Pipit,Anthus spragueii,Vulnerable,PASSERIFORMES,Motacillidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,7000,Sprague's Pipit,Passeriformes,Motacillidae,Anthus spragueii,yes,Sprague's Pipit,Anthus spragueii,prairies and plains of North America; winters to southern Mexico,Motacillidae (Wagtails and Pipits),Passeriformes,yes,Anthus spragueii,Sprague's Pipit,CONUS & Canada,Passeriformes,Motacillidae,10/27/23,yes
Antigone canadensis,Sandhill Crane,Sandhill Crane,Antigone canadensis,NA,GRUIFORMES,Gruidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak; UShi,yes,2060,Sandhill Crane,Gruiformes,Gruidae,Antigone canadensis,yes,Sandhill Crane,Antigone canadensis,NA,Gruidae (Cranes),Gruiformes,yes,Antigone canadensis,Sandhill Crane,CONUS & Canada,Gruiformes,Gruidae,12/16/2022,yes
Antrostomus arizonae,Mexican Whip-poor-will,Mexican Whip-poor-will,Antrostomus arizonae,NA,CAPRIMULGIFORMES,Caprimulgidae,CAM; hol; NAM; nea; US48,yes,4172,Mexican Whip-poor-will,Caprimulgiformes,Caprimulgidae,Antrostomus arizonae,yes,Mexican Whip-poor-will,Antrostomus arizonae,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Antrostomus arizonae,Mexican Whip-poor-will,CONUS & Canada,Caprimulgiformes,Caprimulgidae,11/14/2023,yes
Antrostomus carolinensis,Chuck-will's-widow,Chuck-will's-widow,Antrostomus carolinensis,Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,CA; CAM; CAR; hol; NAM; nan; nea; OCE; PAC; SAM; US48,yes,4160,Chuck-will's-widow,Caprimulgiformes,Caprimulgidae,Antrostomus carolinensis,yes,Chuck-will's-widow,Antrostomus carolinensis,eastern USA; winters southeastern USA to Greater Antilles and northern South America,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Antrostomus carolinensis,Chuck-will's-widow,CONUS & Canada,Caprimulgiformes,Caprimulgidae,9/15/23,yes
Antrostomus vociferus,Eastern Whip-poor-will,Eastern Whip-poor-will,Antrostomus vociferus,Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,4171,Eastern Whip-poor-will,Caprimulgiformes,Caprimulgidae,Antrostomus vociferus,yes,Eastern Whip-poor-will,Antrostomus vociferus,southern Canada and eastern USA; winters to Cuba and western Panama,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Antrostomus vociferus,Eastern Whip-poor-will,CONUS & Canada,Caprimulgiformes,Caprimulgidae,12/14/2022,yes
Aphelocoma californica,California Scrub-Jay,California Scrub-Jay,Aphelocoma californica,NA,PASSERIFORMES,Corvidae,CA; CAM; hol; NAM; nea; US48,yes,4812,California Scrub-Jay,Passeriformes,Corvidae,Aphelocoma californica,yes,California Scrub-Jay,Aphelocoma californica,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Aphelocoma californica,California Scrub-Jay,CONUS & Canada,Passeriformes,Corvidae,7/21/2022,yes
Aphelocoma californica/woodhouseii,California/Woodhouse's Scrub-Jay; unid. California Scrub-Jay/Woodhouse's Scrub-Jay,NA,NA,NA,NA,NA,NA,no,4810,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,Passeriformes,Corvidae,Aphelocoma californica / woodhouseii,yes,California/Woodhouse's Scrub-Jay,Aphelocoma californica/woodhouseii,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Aphelocoma californica / woodhouseii,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,CONUS & Canada,Passeriformes,Corvidae,N/A; unidentified species,yes
Aphelocoma coerulescens,Florida Scrub-Jay,Florida Scrub-Jay,Aphelocoma coerulescens,Endemic Vulnerable,PASSERIFORMES,Corvidae,hol; NAM; nea; US48,yes,4790,Florida Scrub-Jay,Passeriformes,Corvidae,Aphelocoma coerulescens,yes,Florida Scrub-Jay,Aphelocoma coerulescens,locally in central peninsular and Atlantic coastal Florida,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Aphelocoma coerulescens,Florida Scrub-Jay,CONUS & Canada,Passeriformes,Corvidae,3/28/2019; checked 7/20/2022,yes
Aphelocoma insularis,Island Scrub-Jay,Island Scrub-Jay,Aphelocoma insularis,Endemic,PASSERIFORMES,Corvidae,hol; NAM; nea; US48,yes,4811,Island Scrub-Jay,Passeriformes,Corvidae,Aphelocoma insularis,yes,Island Scrub-Jay,Aphelocoma insularis,Santa Cruz Island (Channel Islands off southern California),"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Aphelocoma insularis,Island Scrub-Jay,CONUS & Canada,Passeriformes,Corvidae,2/20/2023,yes
Aphelocoma wollweberi,Mexican Jay,Mexican Jay,Aphelocoma wollweberi,NA,PASSERIFORMES,Corvidae,CAM; hol; NAM; nea; US48,yes,4820,Mexican Jay,Passeriformes,Corvidae,Aphelocoma wollweberi,yes,Mexican Jay,Aphelocoma wollweberi,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Aphelocoma wollweberi,Mexican Jay,CONUS & Canada,Passeriformes,Corvidae,2/3/2022,yes
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,NA,PASSERIFORMES,Corvidae,CA; CAM; hol; NAM; nea; US48,yes,4813,Woodhouse's Scrub-Jay,Passeriformes,Corvidae,Aphelocoma woodhouseii,yes,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,CONUS & Canada,Passeriformes,Corvidae,2/20/2023,yes
Apus apus,Common Swift,Common Swift,Apus apus,Rare/Accidental,APODIFORMES,Apodidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nan; nea; OCE; pal; SAM; US48; USak,yes,NA,NA,NA,NA,NA,no,Common Swift,Apus apus,NA,Apodidae (Swifts),Apodiformes,yes,NA,NA,NA,NA,NA,NA,no
Apus nipalensis,House Swift,House Swift,Apus nipalensis,Uncertain origin,APODIFORMES,Apodidae,ASI; AUS; CA; CAR; hol; NAM; nea; OCE,yes,NA,NA,NA,NA,NA,no,House Swift,Apus nipalensis,NA,Apodidae (Swifts),Apodiformes,yes,NA,NA,NA,NA,NA,NA,no
Apus pacificus,Pacific Swift,Pacific Swift,Apus pacificus,Rare/Accidental,APODIFORMES,Apodidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi,yes,NA,NA,NA,NA,NA,no,Pacific Swift,Apus pacificus,NA,Apodidae (Swifts),Apodiformes,yes,NA,NA,NA,NA,NA,NA,no
Aquila chrysaetos,Golden Eagle,Golden Eagle,Aquila chrysaetos,NA,ACCIPITRIFORMES,Accipitridae,AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,3490,Golden Eagle,Accipitriformes,Accipitridae,Aquila chrysaetos,yes,Golden Eagle,Aquila chrysaetos,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Aquila chrysaetos,Golden Eagle,CONUS & Canada,Accipitriformes,Accipitridae,10/05/2022 - 10/06/2022,yes
Aramides axillaris,Rufous-necked Wood-Rail,Rufous-necked Wood-Rail,Aramides axillaris,Rare/Accidental,GRUIFORMES,Rallidae,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Rufous-necked Wood-Rail,Aramides axillaris,"coastal northwestern Mexico to Trinidad and Suriname, and to far northwestern Peru","Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Aramides axillaris,Rufous-necked Wood-Rail,Mexico,Gruiformes,Rallidae,9/16/2024,yes
Aramus guarauna,Limpkin,Limpkin,Aramus guarauna,NA,GRUIFORMES,Aramidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,2070,Limpkin,Gruiformes,Aramidae,Aramus guarauna,yes,Limpkin,Aramus guarauna,NA,Aramidae (Limpkin),Gruiformes,yes,Aramus guarauna,Limpkin,CONUS & Canada,Gruiformes,Aramidae,2/13/2023,yes
Aratinga nenday,Nanday Parakeet,Nanday Parakeet,Aratinga nenday,Introduced species,PSITTACIFORMES,Psittacidae,AFR; CAR; hol; MID; NAM; nea; pal; SAM; US48,yes,51830,Nanday Parakeet,Psittaciformes,Psittacidae,Aratinga nenday,yes,Nanday Parakeet,Aratinga nenday,"Pantanal of southeastern Bolivia, southwestern Brazil, Paraguay, and northern Argentina",Psittacidae (New World and African Parrots),Psittaciformes,yes,Aratinga nenday,Nanday Parakeet,CONUS & Canada,Psittaciformes,Psittacidae,11/10/2023,yes
Archilochus alexandri,Black-chinned Hummingbird,Black-chinned Hummingbird,Archilochus alexandri,NA,APODIFORMES,Trochilidae,CA; CAM; hol; NAM; nea; US48,yes,4290,Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus alexandri,yes,Black-chinned Hummingbird,Archilochus alexandri,breeds drier parts of southern British Columbia to northwestern Mexico; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Archilochus alexandri,Black-chinned Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,12/15/2022,yes
Archilochus colubris,Ruby-throated Hummingbird,Ruby-throated Hummingbird,Archilochus colubris,NA,APODIFORMES,Trochilidae,CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak,yes,4280,Ruby-throated Hummingbird,Apodiformes,Trochilidae,Archilochus colubris,yes,Ruby-throated Hummingbird,Archilochus colubris,eastern Canada and USA; winters Mexico to Panama,Trochilidae (Hummingbirds),Apodiformes,yes,Archilochus colubris,Ruby-throated Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,4/2/2022-9/19/2022,yes
Archilochus colubris/alexandri,Ruby-throated/Black-chinned Hummingbird; unid. Ruby-throated/Black-chinned Hummingbird,NA,NA,NA,NA,NA,NA,no,4295,unid. Ruby-throated / Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus colubris / alexandri,yes,Ruby-throated/Black-chinned Hummingbird,Archilochus colubris/alexandri,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Archilochus colubris / alexandri,unid. Ruby-throated / Black-chinned Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,N/A; unidentified species,yes
Ardea alba,Great Egret,Great Egret,Ardea alba,NA,PELECANIFORMES,Ardeidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1960,Great Egret,Pelecaniformes,Ardeidae,Ardea alba,yes,Great Egret,Ardea alba,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Ardea alba,Great Egret,CONUS & Canada,Pelecaniformes,Ardeidae,1/30/2023,yes
Ardea brachyrhyncha,Yellow-billed Egret,Yellow-billed Egret,Ardea brachyrhyncha,Rare/Accidental,PELECANIFORMES,Ardeidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-billed Egret,Ardea brachyrhyncha,sub-Saharan Africa,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,NA,NA,NA,NA,NA,no
Ardea cinerea,Gray Heron,Gray Heron,Ardea cinerea,Rare/Accidental,PELECANIFORMES,Ardeidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Gray Heron,Ardea cinerea,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,NA,NA,NA,NA,NA,no
Ardea coromanda,Eastern Cattle-Egret,Eastern Cattle-Egret,Ardea coromanda,Rare/Accidental,PELECANIFORMES,Ardeidae,AFR; ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Eastern Cattle-Egret,Ardea coromanda,southern and eastern Asia to Australia and New Zealand,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,NA,NA,NA,NA,NA,no
Ardea herodias,Great Blue Heron,Great Blue Heron,Ardea herodias,NA,PELECANIFORMES,Ardeidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1940,Great Blue Heron,Pelecaniformes,Ardeidae,Ardea herodias,yes,Great Blue Heron,Ardea herodias,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Ardea herodias,Great Blue Heron,CONUS & Canada,Pelecaniformes,Ardeidae,9/27/22,yes
Ardea herodias occidentalis,Great Blue Heron (Great White); (Great White Heron) Great Blue Heron,NA,NA,NA,NA,NA,NA,no,1920,(Great White Heron) Great Blue Heron,Pelecaniformes,Ardeidae,Ardea herodias occidentalis,yes,Great Blue Heron (Great White),Ardea herodias occidentalis,southern Florida through West Indies to islands off Venezuela,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Ardea herodias occidentalis,(Great White Heron) Great Blue Heron,CONUS & Canada,Pelecaniformes,Ardeidae,9/27/22,yes
Ardea ibis; Bubulcus ibis,Western Cattle-Egret; Cattle Egret,Western Cattle-Egret,Ardea ibis,NA,PELECANIFORMES,Ardeidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2001,Cattle Egret,Pelecaniformes,Ardeidae,Bubulcus ibis,yes,Western Cattle-Egret,Ardea ibis,"southern Europe eastward to Iran, and Africa, Madagascar, and islands in western Indian Ocean (Seychelles, Aldabra, Comoros, and Mauritius); colonized the New World in the 20th century, now widespread in North and South America; introduced to the Hawaiian Islands; partially migratory in North America and southern Africa","Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Bubulcus ibis,Cattle Egret,CONUS & Canada,Pelecaniformes,Ardeidae,1/31/2023,yes
Ardea intermedia,Medium Egret,Medium Egret,Ardea intermedia,Rare/Accidental,PELECANIFORMES,Ardeidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Medium Egret,Ardea intermedia,Japan to southern India and Greater Sundas,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,NA,NA,NA,NA,NA,no
Ardea sp.; Ardeid sp.,Ardea sp.; unid. heron/egret,NA,NA,NA,NA,NA,NA,no,1945,unid. heron / egret,Pelecaniformes,Ardeidae,Ardeid sp.,yes,Ardea sp.,Ardea sp.,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Ardeid sp.,unid. heron / egret,CONUS & Canada,Pelecaniformes,Ardeidae,N/A; unidentified species,yes
